source_file,match_id,clip_start_seconds,clip_end_seconds,analysis_status,confidence,result,reason,source_duration_seconds
match_001.mp4,match_001,71,114,analysed,high,win,,128.883333
match_002.mp4,match_002,46,100,analysed,high,loss,,114.683333
match_003.mp4,match_003,65,211,analysed,high,loss,,224.683333
match_004.mp4,match_004,39,343,analysed,high,loss,,357.916667
match_005.mp4,match_005,46,107,analysed,high,win,,122.65
match_006.mp4,match_006,52,130,uncertain,medium,loss,,143.316667
match_007.mp4,,0,336.75,ignored_non_2v2,,,"3v3: full frame 80s shows Gold 3 / Green 3, two friendly party members and three enemy frames; entire clip surveyed at 4s",336.75
match_008.mp4,,0,490.85,ignored_non_2v2,,,3v3: three enemy frames and two friendly party members throughout the single game; entire clip surveyed at 4s,490.85
match_009.mp4,match_009,71,192,uncertain,medium,loss,,206.85
match_010.mp4,,0,143.583333,ignored_non_2v2,,,3v3: three enemy frames and two friendly party members throughout one game; entire clip surveyed at 4s,143.583333
match_011.mp4,match_011,59,189,analysed,high,loss,,203.45
match_012.mp4,match_012,71,214,analysed,high,loss,,230.383333
match_013.mp4,match_013,50,102,uncertain,medium,loss,,116.75
match_014.mp4,match_014,43,122,analysed,high,win,,136.45
match_015.mp4,match_015,39,159,analysed,high,loss,,173.816667
match_016.mp4,match_016,35,124,analysed,high,loss,,138.816667
match_017.mp4,match_017,65,378,analysed,high,win,,395.95
match_018.mp4,match_018,61,126,analysed,high,loss,,139.683333
match_019.mp4,match_019,35,66,analysed,high,win,,80.616667
match_020.mp4,match_020,47,201,analysed,high,win,,215.416667
match_021.mp4,match_021,33,106,analysed,high,win,,120.816667
match_022.mp4,match_022,39,94,analysed,high,win,,108.683333
match_023.mp4,match_023,46,95,analysed,high,win,,109.55
match_024.mp4,match_024,31,71,analysed,high,win,,86.316667
match_025.mp4,match_025,44,154,analysed,high,win,,169.883333
match_026.mp4,match_026,67,193.5,analysed,high,win,,209.15
match_027.mp4,match_027,65,189,analysed,high,loss,,203.683333
match_028.mp4,match_028,54,123,analysed,high,loss,,137.983333
match_029.mp4,match_029,59,178,analysed,high,win,,193.416667
match_030.mp4,match_030,64,156,analysed,high,win,,170.95
match_031.mp4,match_031,50,191,analysed,high,win,,206.416667
match_032.mp4,match_032,51,118,uncertain,medium,loss,,133.55
match_033.mp4,match_033,67,161,analysed,high,loss,,175.45
match_034.mp4,match_034,32,109,analysed,high,loss,,123.683333
match_035.mp4,match_035,43,176.5,analysed,high,win,,192.25
match_036.mp4,match_036,37,154,analysed,high,loss,,169.516667
match_037.mp4,match_037,38,170,analysed,high,win,,185.316667
match_038.mp4,match_038,30,131,analysed,high,win,,147.016667
match_039.mp4,match_039,38,124,analysed,high,win,,139.15
match_040.mp4,match_040,50,146,analysed,high,win,,161.783333
match_041.mp4,match_041,31,121,analysed,high,win,,135.583333
match_042.mp4,match_042,35,67,analysed,high,win,,82.25
match_043.mp4,match_043,63,165,analysed,high,loss,,177.35
match_044.mp4,match_044,51,191,analysed,high,loss,,204.616667
match_045.mp4,match_045,58,106,analysed,high,win,,120.483333
match_046.mp4,match_046,39,57,analysed,high,win,,72.45
match_047.mp4,match_047,51,282,analysed,high,loss,,296.65
match_048.mp4,match_048,61,115,analysed,high,loss,,130.516667
match_049.mp4,match_049,74,125,analysed,high,win,,139.383333
match_050.mp4,match_050,40,153,analysed,high,win,,168.216667
match_051.mp4,match_051,51,139,analysed,high,loss,,155.183333
match_052.mp4,match_052,40,107,analysed,high,win,,122.216667
match_053.mp4,match_053,57,105,analysed,high,win,,119.783333
