source_file,match_id,clip_start_seconds,clip_end_seconds,analysis_status,confidence,result
match_001.mp4,match_001,0,128.066667,analysed,high,win
match_002.mp4,match_002,0,108.033333,analysed,high,win
match_003.mp4,match_003,0,97.7,analysed,medium,win
match_004.mp4,match_004,0,108.266667,analysed,high,win
match_005.mp4,match_005,0,138.5,uncertain,medium,win
match_006.mp4,match_006,0,113.266667,analysed,high,win
match_007.mp4,match_007,0,104.933333,analysed,medium,win
match_008.mp4,match_008,0,119.6,analysed,medium,win
match_009.mp4,match_009,0,101.633333,analysed,medium,win
match_010.mp4,match_010a,0,125,analysed,medium,win
match_010.mp4,match_010b,134,256,analysed,high,win
match_011.mp4,match_011,13,88,analysed,medium,win
match_012.mp4,match_012,13,65,analysed,medium,win
match_013.mp4,match_013,14,73,analysed,medium,win
match_014.mp4,match_014,13,80,analysed,medium,win
match_015.mp4,match_015,14,129,analysed,medium,win
match_016.mp4,match_016,13,80,uncertain,low,win
match_017.mp4,match_017,14,78,analysed,medium,win
match_018.mp4,match_018,14,110,analysed,medium,win
match_019.mp4,match_019,13,95,analysed,medium,win
match_020.mp4,match_020,13,77,analysed,medium,win
match_021.mp4,match_021,13,102,analysed,medium,win
match_022.mp4,match_022,10,77,analysed,medium,win
match_023.mp4,match_023,14,244,analysed,medium,win
match_024.mp4,match_024,14,26,uncertain,low,win
match_025.mp4,match_025,14,184,analysed,medium,win
match_026.mp4,match_026,15,69,analysed,medium,win
match_027.mp4,match_027,15,190,uncertain,medium,win
match_028.mp4,match_028,15,139,analysed,medium,win
match_029.mp4,match_029,14,123,analysed,medium,win
match_030.mp4,match_030a,13,82,analysed,medium,win
match_030.mp4,match_030b,88,220,analysed,medium,win
match_031.mp4,match_031a,9,186,analysed,medium,win
match_031.mp4,match_031b,189,345,analysed,medium,win
match_032.mp4,match_032,9,110,analysed,medium,win
match_033.mp4,match_033a,9,105,analysed,medium,win
match_033.mp4,match_033b,108,220,analysed,medium,win
match_034.mp4,match_034,13,90,uncertain,medium,win
match_035.mp4,match_035,13,140,analysed,medium,loss
match_036.mp4,match_036,9,140,analysed,medium,win
match_037.mp4,match_037a,14,85,analysed,medium,win
match_037.mp4,match_037b,94,164,analysed,medium,win
match_038.mp4,match_038,14,110,analysed,medium,win
match_039.mp4,match_039,14,93,analysed,medium,win
match_040.mp4,match_040,14,232,analysed,medium,win
match_041.mp4,match_041,13,95,analysed,medium,win
match_042.mp4,match_042,13,124,analysed,medium,win
match_043.mp4,match_043,13,114,uncertain,medium,loss
match_044.mp4,match_044,9,129,analysed,medium,win
match_045.mp4,match_045,13,111,analysed,medium,win
match_046.mp4,match_046,14,261,analysed,medium,win
match_047.mp4,match_047,13,106,analysed,medium,win
