source_file,match_id,status,confidence,ignore_reason,clip_start_seconds,clip_end_seconds,source_duration_seconds,notes
match_001.mp4,,ignored_non_2v2,,3v3 arena; three opponents established,,,108.717,Full clip reviewed; excluded from corpus.
match_002.mp4,may18_2500_match_002,analysed,high,,60,154,169.65,
match_003.mp4,may18_2500_match_003,analysed,high,,68,168,182.883,
match_004.mp4,may18_2500_match_004,analysed,high,,31,76,90.75,
match_005.mp4,may18_2500_match_005,analysed,high,,67,109,123.383,
match_006.mp4,may18_2500_match_006,analysed,high,,28,131,146.35,
match_007.mp4,may18_2500_match_007,analysed,high,,70,210,224.817,
match_008.mp4,may18_2500_match_008,analysed,high,,67,141,155.483,
match_009.mp4,may18_2500_match_009,analysed,high,,64,104,120.083,
match_010.mp4,may18_2500_match_010,analysed,high,,40,93,107.95,
match_011.mp4,may18_2500_match_011,analysed,high,,34,70,84.917,
match_012.mp4,may18_2500_match_012,analysed,high,,41,155,172.35,
match_013.mp4,may18_2500_match_013,analysed,high,,42,128,143.45,
match_014.mp4,may18_2500_match_014,analysed,high,,52,126,141.683,
match_015.mp4,may18_2500_match_015,analysed,high,,59,104,119.683,
match_016.mp4,may18_2500_match_016,analysed,high,,52,118,132.883,
match_017.mp4,may18_2500_match_017,analysed,high,,53,124,139.117,
match_018.mp4,may18_2500_match_018,uncertain,medium,,29,54,70.217,
match_019.mp4,may18_2500_match_019,analysed,high,,0,226,226.283,
match_020.mp4,may18_2500_match_020,analysed,high,,0,123,123.45,
match_021.mp4,may18_2500_match_021,analysed,high,,0,138,138.117,
match_022.mp4,may18_2500_match_022,analysed,high,,0,133,132.85,Whole-second record end rounds above exact duration by 0.15s.
match_023.mp4,may18_2500_match_023,analysed,high,,0,125,125.383,
match_024.mp4,may18_2500_match_024,analysed,high,,0,111,110.85,Whole-second record end rounds above exact duration by 0.15s.
match_025.mp4,may18_2500_match_025,uncertain,medium,,0,120,124.05,
match_026.mp4,may18_2500_match_026,uncertain,medium,,0,96,102.283,
match_027.mp4,,excluded_non_evidentiary_2v2,,Unopposed/aborted 2v2; no meaningful enemy combat,,,36.217,Full clip reviewed; excluded from corpus.
match_028.mp4,,excluded_non_evidentiary_2v2,,Unopposed/aborted 2v2; no meaningful enemy combat,,,34.383,Full clip reviewed; excluded from corpus.
match_029.mp4,may18_2500_match_029,uncertain,medium,,0,137,137.45,
match_030.mp4,may18_2500_match_030,uncertain,medium,,0,111,111.483,
match_031.mp4,,excluded_non_evidentiary_2v2,,Unopposed/aborted 2v2; no meaningful enemy combat,,,37.883,Full clip reviewed; excluded from corpus.
match_032.mp4,may18_2500_match_032,uncertain,medium,,0,150,150.383,
match_033.mp4,may18_2500_match_033,analysed,high,,0,118,118.35,
