source_file,match_id,status,confidence,result,source_duration_seconds,clip_start_seconds,clip_end_seconds,full_duration_reviewed,review_start_seconds,review_end_seconds,valid_2v2_games,record_count,ignore_reason,overlap_note,notes,source_size_bytes
match_001.mp4,may24_2450_match_001,analysed,high,win,114.416667,13,98,True,0,114.416667,1,1,,,Preparation/loading and postgame segments reviewed; no additional unique active game,48001986
match_002.mp4,may24_2450_match_002,analysed,high,win,174.516667,12,160,True,0,174.516667,1,1,,,Preparation/loading and postgame segments reviewed; no additional unique active game,89062514
match_003.mp4,may24_2450_match_003,analysed,high,loss,109.916667,12,95,True,0,109.916667,1,1,,,Preparation/loading and postgame segments reviewed; no additional unique active game,60870517
match_004.mp4,may24_2450_match_004,uncertain,medium,win,147.616667,11,133,True,0,147.616667,1,1,,,Administrative win after meaningful normal2v2 combat; all four killing blows0,96697427
match_005.mp4,may24_2450_match_005,analysed,high,win,129.95,12,115,True,0,129.95,1,1,,,Preparation/loading and postgame segments reviewed; no additional unique active game,75558869
match_006.mp4,may24_2450_match_006,analysed,high,win,135.45,13,111,True,0,135.45,1,1,,,Preparation/loading and postgame segments reviewed; no additional unique active game,66299130
match_007.mp4,may24_2450_match_007,analysed,high,loss,140.55,14,126,True,0,140.55,1,1,,0-6s repeats match006 ending; not a new record,Preparation/loading and postgame segments reviewed; no additional unique active game,87087628
match_008.mp4,may24_2450_match_008,analysed,high,win,123.75,11,109,True,0,123.75,1,1,,,Preparation/loading and postgame segments reviewed; no additional unique active game,65048343
match_009.mp4,may24_2450_match_009,analysed,high,win,188.283333,13,173,True,0,188.283333,1,1,,,Preparation/loading and postgame segments reviewed; no additional unique active game,119222090
match_010.mp4,may24_2450_match_010,analysed,high,win,151.183333,10,128,True,0,151.183333,1,1,,,Preparation/loading and postgame segments reviewed; no additional unique active game,78032345
match_011.mp4,may24_2450_match_011,analysed,high,loss,150.016667,9,135,True,0,150.016667,1,1,,0-3s repeats match010 ending; not a new record,Preparation/loading and postgame segments reviewed; no additional unique active game,87386875
match_012.mp4,may24_2450_match_012,uncertain,medium,win,98.516667,13,74,True,0,98.516667,1,1,,,Paladin spec unknown,51367962
match_013.mp4,may24_2450_match_013,analysed,high,loss,99.083333,11,84,True,0,99.083333,1,1,,0-4s repeats match012 ending; not a new record,Preparation/loading and postgame segments reviewed; no additional unique active game,54258948
match_014.mp4,may24_2450_match_014,analysed,high,win,96.183333,11,81,True,0,96.183333,1,1,,,Preparation/loading and postgame segments reviewed; no additional unique active game,55050127
match_015.mp4,may24_2450_match_015,analysed,high,loss,114.216667,11,100,True,0,114.216667,1,1,,,Preparation/loading and postgame segments reviewed; no additional unique active game,70298181
match_016.mp4,may24_2450_match_016,analysed,high,loss,150.25,14,136,True,0,150.25,1,1,,,Preparation/loading and postgame segments reviewed; no additional unique active game,87983536
match_017.mp4,may24_2450_match_017,analysed,high,win,115.816667,11,101,True,0,115.816667,1,1,,,Preparation/loading and postgame segments reviewed; no additional unique active game,70731888
match_018.mp4,may24_2450_match_018,analysed,high,win,135.416667,15,119,True,0,135.416667,1,1,,,Preparation/loading and postgame segments reviewed; no additional unique active game,77728739
match_019.mp4,may24_2450_match_019,analysed,high,win,179.816667,12,165,True,0,179.816667,1,1,,,Preparation/loading and postgame segments reviewed; no additional unique active game,106871753
match_020.mp4,may24_2450_match_020,analysed,high,win,168.116667,10,152,True,0,168.116667,1,1,,,Preparation/loading and postgame segments reviewed; no additional unique active game,108858644
match_021.mp4,may24_2450_match_021,analysed,high,win,125.716667,14,110,True,0,125.716667,1,1,,,Preparation/loading and postgame segments reviewed; no additional unique active game,82131684
match_022.mp4,may24_2450_match_022,analysed,high,win,201.116667,12,186,True,0,201.116667,1,1,,,Preparation/loading and postgame segments reviewed; no additional unique active game,122916915
match_023.mp4,,excluded_non_evidentiary_2v2,,,115.583333,11,101,True,0,115.583333,0,0,Administrative ending without established meaningful two-enemy combat; Warrior scoreboard0 damage/healing; no killing blows,,Preparation/loading and postgame segments reviewed; no additional unique active game,61126473
match_024.mp4,may24_2450_match_024,analysed,high,loss,156.683333,12,142,True,0,156.683333,1,1,,,Preparation/loading and postgame segments reviewed; no additional unique active game,82248642
match_025.mp4,may24_2450_match_025,analysed,high,win,157.316667,11,134,True,0,157.316667,1,1,,,Preparation/loading and postgame segments reviewed; no additional unique active game,100449180
