source_file,source_duration_seconds,match_id,status,confidence,valid_2v2_games,clip_start_seconds,clip_end_seconds,ignore_reason,segment_notes
match_001.mp4,76.817,,ignored_non_2v2,,0,,,3v3 arena: three friendly participants; no separate normal2v2 game observed,
match_002.mp4,145.483,may04_2350_match_002,analysed,high,1,44,131,,
match_003.mp4,124.65,may04_2350_match_003,analysed,high,1,61,111,,
match_004.mp4,155.45,may04_2350_match_004,analysed,medium,1,37,141,,
match_005.mp4,147.483,may04_2350_match_005,analysed,high,1,67,133,,
match_006.mp4,123.983,may04_2350_match_006,analysed,medium,1,56,109,,
match_007.mp4,113.483,may04_2350_match_007,analysed,high,1,48,99,,
match_008.mp4,176.533,may04_2350_match_008,analysed,high,1,50,163,,Late loading/preparation relates to match_009.mp4; no additional completed normal2v2 game in this file
match_009.mp4,99.45,may04_2350_match_009,analysed,high,1,35,85,,
match_010.mp4,106.183,may04_2350_match_010,analysed,high,1,53,93,,Late loading/preparation relates to match_011.mp4; no additional completed normal2v2 game in this file
match_011.mp4,32.883,,excluded_non_evidentiary_2v2,,0,,,Unopposed/aborted arena; no meaningful combat,
match_012.mp4,126.05,may04_2350_match_012,analysed,high,1,50,110,,
match_013.mp4,101.117,may04_2350_match_013,analysed,high,1,33,85,,
match_014.mp4,104.55,may04_2350_match_014,analysed,high,1,31,89,,
match_015.mp4,212.783,may04_2350_match_015,uncertain,medium,1,30,197,,Late loading/preparation relates to match_016.mp4; no additional completed normal2v2 game in this file
match_016.mp4,127.717,may04_2350_match_016,analysed,high,1,45,112,,
match_017.mp4,93.917,may04_2350_match_017,analysed,high,1,53,78,,Late loading/preparation relates to match_018.mp4; no additional completed normal2v2 game in this file
match_018.mp4,112.65,may04_2350_match_018,uncertain,medium,1,28,96,,
match_019.mp4,168.45,may04_2350_match_019,analysed,high,1,31,152,,
match_020.mp4,115.683,may04_2350_match_020,analysed,high,1,37,100,,Late loading/preparation relates to match_021.mp4; no additional completed normal2v2 game in this file
match_021.mp4,81.583,may04_2350_match_021,analysed,high,1,31,66,,
match_022.mp4,127.117,may04_2350_match_022,analysed,medium,1,53,111,,
match_023.mp4,150.417,may04_2350_match_023,analysed,high,1,61,124,,Late loading/preparation relates to match_024.mp4; no additional completed normal2v2 game in this file
match_024.mp4,81.283,may04_2350_match_024,analysed,high,1,25,65,,
match_025.mp4,111.517,may04_2350_match_025,analysed,high,1,29,96,,
match_026.mp4,110.95,may04_2350_match_026,analysed,high,1,35,95,,
match_027.mp4,103.05,may04_2350_match_027,analysed,high,1,31,87,,
match_028.mp4,197.517,may04_2350_match_028,analysed,high,1,50,171,,Late loading/preparation relates to match_029.mp4; no additional completed normal2v2 game in this file
match_029.mp4,115.617,may04_2350_match_029,analysed,medium,1,27,89,,Late loading/preparation relates to match_030.mp4; no additional completed normal2v2 game in this file
match_030.mp4,110.317,may04_2350_match_030,analysed,high,1,28,94,,
match_031.mp4,139.817,may04_2350_match_031,analysed,high,1,46,123,,
match_032.mp4,79.75,,excluded_non_evidentiary_2v2,,0,,,Round ends administratively before meaningful damage/control despite two enemy frames,
match_033.mp4,259.617,may04_2350_match_033,analysed,high,1,37,243,,
match_034.mp4,197.917,may04_2350_match_034,analysed,high,1,34,181,,
match_035.mp4,86.217,,excluded_non_evidentiary_2v2,,0,,,Unopposed/aborted arena; no enemy interaction,
match_036.mp4,173.983,may04_2350_match_036,analysed,high,1,36,158,,
match_037.mp4,170.35,may04_2350_match_037,analysed,high,1,37,143,,Late loading/preparation relates to match_038.mp4; no additional completed normal2v2 game in this file
match_038.mp4,91.0,may04_2350_match_038,analysed,high,1,30,75,,Late loading/preparation relates to match_039.mp4; no additional completed normal2v2 game in this file
match_039.mp4,84.783,,excluded_non_evidentiary_2v2,,0,,,Unopposed/aborted arena; no enemy interaction,
match_040.mp4,116.417,may04_2350_match_040,analysed,high,1,31,100,,
match_041.mp4,97.35,may04_2350_match_041,analysed,high,1,28,82,,
match_042.mp4,234.45,may04_2350_match_042,analysed,high,1,46,218,,
match_043.mp4,184.95,may04_2350_match_043,uncertain,medium,1,71,169,,Late loading/preparation relates to match_044.mp4; no additional completed normal2v2 game in this file
match_044.mp4,225.583,may04_2350_match_044,analysed,high,1,30,210,,Late loading/preparation relates to match_045.mp4; no additional completed normal2v2 game in this file
match_045.mp4,118.717,may04_2350_match_045,analysed,high,1,27,103,,Late loading/preparation relates to match_046.mp4; no additional completed normal2v2 game in this file
match_046.mp4,168.617,may04_2350_match_046,analysed,high,1,31,153,,
match_047.mp4,131.517,may04_2350_match_047,uncertain,medium,1,49,116,,
match_048.mp4,107.283,may04_2350_match_048,analysed,medium,1,56,93,,Late loading/preparation relates to match_049.mp4; no additional completed normal2v2 game in this file
match_049.mp4,31.483,,excluded_non_evidentiary_2v2,,0,,,Aborted arena; immediate scoreboard/return without meaningful combat,
match_050.mp4,111.483,may04_2350_match_050,analysed,high,1,37,95,,
match_051.mp4,41.7,,excluded_non_evidentiary_2v2,,0,,,Aborted arena; immediate scoreboard/return without meaningful combat,Late loading/preparation relates to match_052.mp4; no additional completed normal2v2 game in this file
match_052.mp4,204.783,may04_2350_match_052,analysed,high,1,67,189,,
match_053.mp4,28.617,,excluded_non_evidentiary_2v2,,0,,,Aborted arena; immediate scoreboard/return without meaningful combat,
match_054.mp4,157.017,may04_2350_match_054,analysed,high,1,29,141,,
match_055.mp4,127.583,may04_2350_match_055,analysed,high,1,34,112,,
match_056.mp4,190.05,may04_2350_match_056,analysed,high,1,68,174,,
match_057.mp4,208.617,may04_2350_match_057,analysed,high,1,54,192,,Late loading/preparation relates to match_058.mp4; no additional completed normal2v2 game in this file
match_058.mp4,109.283,may04_2350_match_058,analysed,high,1,30,93,,
match_059.mp4,108.183,,excluded_non_evidentiary_2v2,,0,,,Effectively one-opponent round: second opponent first appears88s just before Priest death89s; normal2v2 strategic interaction is not established; absence cause unknown,Late loading/preparation relates to match_060.mp4; no additional completed normal2v2 game in this file
match_060.mp4,232.55,may04_2350_match_060,uncertain,medium,1,42,216,,Opening carryover/old enemy frames relate to excluded match_059; own normal2v2 game begins42s
match_061.mp4,300.183,may04_2350_match_061,analysed,high,1,30,284,,Late loading/preparation relates to match_062.mp4; no additional completed normal2v2 game in this file
match_062.mp4,117.883,may04_2350_match_062,analysed,medium,1,46,102,,
match_063.mp4,210.85,may04_2350_match_063,analysed,medium,1,49,196,,
match_064.mp4,131.05,may04_2350_match_064,analysed,high,1,38,115,,
match_065.mp4,243.217,may04_2350_match_065,analysed,high,1,50,227,,
