source_file,match_id,status,confidence,ignore_reason,clip_start_seconds,clip_end_seconds,source_duration_seconds,valid_2v2_games
match_001.mp4,september28_2700_match_001,uncertain,medium,,15,156,170.966667,1
match_002.mp4,september28_2700_match_002,analysed,high,,11,157,171.633333,1
match_003.mp4,september28_2700_match_003,analysed,high,,11,135,149.433333,1
match_004.mp4,september28_2700_match_004,uncertain,medium,,12,127,141.233333,1
match_005.mp4,september28_2700_match_005,analysed,high,,11,134,148.633333,1
match_006.mp4,september28_2700_match_006,analysed,high,,10,140,155.083333,1
match_007.mp4,september28_2700_match_007,analysed,high,,16,203,217.866667,1
match_008.mp4,september28_2700_match_008,analysed,high,,12,334,349.166667,1
match_009.mp4,september28_2700_match_009,analysed,high,,11,399,413.633333,1
match_010.mp4,september28_2700_match_010,analysed,high,,15,130,144.966667,1
match_011.mp4,september28_2700_match_011,analysed,high,,11,303,317.566667,1
match_012.mp4,,excluded_non_evidentiary_2v2,,"Only one enemy frame (Destruction Warlock Salampidoras) throughout the game. Friendly Priest Uncle leaves the battle ~77s while Warlock remains Sapped at full health; subsequent combat is Rogue versus Warlock and pet, rather than evidentiary normal 2v2. Rogue and Warlock reach 0% ~122s, Green Team wins ~124s. Town tail to 140s; no additional game.",11,125,140.0,0
match_013.mp4,september28_2700_match_013,analysed,high,,11,144,159.266667,1
match_014.mp4,september28_2700_match_014,analysed,high,,15,130,144.533333,1
match_015.mp4,september28_2700_match_015,uncertain,medium,,11,100,114.166667,1
match_016.mp4,september28_2700_match_016,uncertain,medium,,11,284,298.916667,1
match_017.mp4,september28_2700_match_017,analysed,high,,11,127,141.533333,1
match_018.mp4,september28_2700_match_018,analysed,high,,11,232,247.0,1
match_019.mp4,september28_2700_match_019,analysed,high,,15,136,150.366667,1
match_020.mp4,,excluded_non_evidentiary_2v2,,"Arena ends administratively at approximately 72s, within two seconds of gates opening. Only Paladin Brunee is established, at full health; no meaningful combat or normal 2v2 interaction. Gold Team win does not establish a kill.",15,74,88.566667,0
match_021.mp4,september28_2700_match_021,analysed,high,,15,180,195.166667,1
match_022.mp4,september28_2700_match_022,analysed,high,,12,122,135.066667,1
match_023.mp4,september28_2700_match_023,analysed,high,,12,99,113.533333,1
match_024.mp4,september28_2700_match_024,analysed,high,,12,390,404.833333,1
match_025.mp4,september28_2700_match_025,analysed,high,,12,132,146.8,1
match_026.mp4,september28_2700_match_026,analysed,high,,12,383,398.066667,1
match_027.mp4,september28_2700_match_027,analysed,high,,16,193,208.733333,1
match_028.mp4,september28_2700_match_028,analysed,high,,16,178,193.8,1
match_029.mp4,september28_2700_match_029,analysed,high,,16,261,276.5,1
match_030.mp4,september28_2700_match_030,uncertain,medium,,12,93,108.3,1
match_031.mp4,september28_2700_match_031,analysed,high,,16,413,429.166667,1
match_032.mp4,september28_2700_match_032,analysed,high,,16,90,105.466667,1
match_033.mp4,september28_2700_match_033,analysed,high,,16,92,107.533333,1
